Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,TMT,18.8,HOSE,NULL,CHIU
2023-04-28,L10,22.25,HOSE,NULL,CHIU
2023-04-28,PET,24.8,HOSE,NULL,CHIU
2023-04-28,ANV,32.35,HOSE,NULL,CHIU
2023-04-28,DXG,13.5,HOSE,NULL,CHIU
2023-04-28,STB,25.3,HOSE,VN30,CHIU
2023-04-28,AMC,18.0,HNX,NULL,CHIU
2023-04-28,VTJ,2.8,HNX,NULL,CHIU
2023-04-28,CRE,7.54,HOSE,NULL,CHIU
2023-04-28,EVS,9.6,HNX,NULL,CHIU
2023-04-28,SHE,10.5,HNX,NULL,CHIU
2023-04-28,VLA,52.0,HNX,NULL,CHIU
2023-04-28,HU3,4.35,HOSE,NULL,CHIU
2023-04-28,POM,4.64,HOSE,NULL,CHIU
2023-04-28,AGM,5.55,HOSE,NULL,CHIU
2023-04-28,SVC,35.35,HOSE,NULL,CHIU
2023-04-28,BTT,32.95,HOSE,NULL,CHIU
2023-04-28,AST,58.5,HOSE,NULL,CHIU
2023-04-28,FUESSV50,16.5,HOSE,NULL,CHIU
2023-04-28,ITC,9.12,HOSE,NULL,CHIU
2023-04-28,CAV,59.0,HOSE,NULL,CHIU
2023-04-28,EMC,10.8,HOSE,NULL,CHIU
2023-04-28,HSG,15.5,HOSE,NULL,CHIU
2023-04-28,TCR,3.38,HOSE,NULL,CHIU
2023-04-28,HTN,13.1,HOSE,NULL,CHIU
2023-04-28,VPD,25.95,HOSE,NULL,CHIU
2023-04-28,VND,14.9,HOSE,NULL,CHIU
2023-04-28,ADS,12.9,HOSE,NULL,CHIU
2023-04-28,TLH,7.0,HOSE,NULL,CHIU
2023-04-28,V21,3.7,HNX,NULL,CHIU
2023-04-28,VNM,70.0,HOSE,VN30,CHIU
2023-04-28,CLM,65.0,HNX,NULL,CHIU
2023-04-28,VIX,7.94,HOSE,NULL,CHIU
2023-04-28,IJC,13.9,HOSE,NULL,CHIU
2023-04-28,BCG,8.37,HOSE,NULL,CHIU
2023-04-28,SCS,65.7,HOSE,NULL,CHIU
2023-04-28,TDW,43.0,HOSE,NULL,CHIU
2023-04-28,DGW,34.3,HOSE,NULL,CHIU
2023-04-28,QTC,12.5,HNX,NULL,CHIU
2023-04-28,THB,12.0,HNX,NULL,CHIU
2023-04-28,VGC,33.35,HOSE,NULL,CHIU
2023-04-28,MAS,35.9,HNX,NULL,CHIU
2023-04-28,TCL,37.25,HOSE,NULL,CHIU
2023-04-28,FUCTVGF3,16.8,HOSE,NULL,CHIU
2023-04-28,HAS,8.56,HOSE,NULL,CHIU
2023-04-28,GIL,23.4,HOSE,NULL,CHIU
2023-04-28,VIF,13.3,HNX,NULL,CHIU
2023-04-28,PCH,4.2,HNX,NULL,CHIU
2023-04-28,KHS,21.7,HNX,NULL,CHIU
2023-04-28,NT2,31.55,HOSE,NULL,CHIU
2023-04-28,SRF,9.79,HOSE,NULL,CHIU
2023-04-28,VFG,35.6,HOSE,NULL,CHIU
2023-04-28,TNC,67.6,HOSE,NULL,CHIU
2023-04-28,TNH,28.3,HOSE,NULL,CHIU
2023-04-28,FUCTVGF4,14.85,HOSE,NULL,CHIU
2023-04-28,PGC,15.8,HOSE,NULL,CHIU
2023-04-28,MBB,18.45,HOSE,VN30,CHIU
2023-04-28,OGC,7.95,HOSE,NULL,CHIU
2023-04-28,EVE,15.2,HOSE,NULL,CHIU
2023-04-28,TTB,2.35,HOSE,NULL,CHIU
2023-04-28,NHH,14.35,HOSE,NULL,CHIU
2023-04-28,SSC,27.75,HOSE,NULL,CHIU
2023-04-28,CSV,30.85,HOSE,NULL,CHIU
2023-04-28,BRC,10.45,HOSE,NULL,CHIU
2023-04-28,CTD,59.0,HOSE,NULL,CHIU
2023-04-28,SJE,27.6,HNX,NULL,CHIU
2023-04-28,BAX,62.0,HNX,NULL,CHIU
2023-04-28,CTF,36.3,HOSE,NULL,CHIU
2023-04-28,APG,7.17,HOSE,NULL,CHIU
2023-04-28,CTI,12.35,HOSE,NULL,CHIU
2023-04-28,PTL,3.41,HOSE,NULL,CHIU
2023-04-28,FUEVFVND,22.7,HOSE,NULL,CHIU
2023-04-28,MED,25.6,HNX,NULL,CHIU
2023-04-28,CET,4.3,HNX,NULL,CHIU
